Trip Duration,Start Time,Start Station,End Station,User Type
695,26/01/2020 17:45,86,152,member
693,17/02/2020 17:08,503,499,member
2059,1/03/2020 17:54,142,255,member
123,7/04/2020 12:50,216,657,member
1521,18/05/2020 10:22,125,323,casual
2028,30/06/2020 17:55,173,35,member
2057,2/07/2020 14:47,35,635,member
369,7/08/2020 12:22,434,382,casual
1829,15/09/2020 10:30,627,359,casual
829,4/10/2020 15:02,377,508,member
1316,4/11/2020 15:22,508,374,member
1456,25/12/2020 15:43,374,128,member
386,24/01/2020 18:09,374,210,member
924,11/02/2020 17:15,374,128,member
1233,20/03/2020 17:18,321,623,member
512,18/04/2020 15:49,321,20,member
505,19/05/2020 13:39,321,141,member
833,18/06/2020 2:59,9,9,casual
1818,4/07/2020 10:52,141,190,casual
682,25/08/2020 12:32,109,621,member
899,5/09/2020 15:39,424,653,casual
626,10/10/2020 16:00,347,227,casual
219,18/11/2020 12:07,198,109,member
339,5/12/2020 14:29,344,227,member
97,5/01/2020 13:44,227,344,member
511,6/02/2020 17:58,227,227,member
198,6/03/2020 12:23,227,227,member
482,11/04/2020 14:43,661,661,casual
395,11/05/2020 16:49,127,127,casual
424,11/06/2020 14:18,80,621,casual
